"time","volume","id","density","tcells"
0,1448.793,"k =  4",0,0
0.05,1512.37847041888,"k =  4",0,0
0.1,1578.75096556914,"k =  4",0,0
0.15,1648.03577708534,"k =  4",0,0
0.2,1720.36173546302,"k =  4",0,0
0.25,1795.86191450959,"k =  4",0,0
0.3,1874.67539207703,"k =  4",0,0
0.35,1956.94719339377,"k =  4",0,0
0.4,2042.82930341846,"k =  4",0,0
0.45,2132.48031808683,"k =  4",0,0
0.5,2226.06576176486,"k =  4",0,0
0.55,2323.7583021428,"k =  4",0,0
0.6,2425.73815074038,"k =  4",0,0
0.65,2532.19339641116,"k =  4",0,0
0.7,2643.32047343281,"k =  4",0,0
0.75,2759.32442228101,"k =  4",0,0
0.8,2880.41930630018,"k =  4",0,0
0.85,3006.82853101989,"k =  4",0,0
0.9,3138.7853217733,"k =  4",0,0
0.95,3276.53311820025,"k =  4",0,0
1,3420.32607263836,"k =  4",0,0
1.05,3570.42947667145,"k =  4",0,0
1.1,3727.12027972078,"k =  4",0,0
1.15,3890.68756691809,"k =  4",0,0
1.2,4061.43311602444,"k =  4",0,0
1.25,4239.67195124371,"k =  4",0,0
1.3,4425.73292298988,"k =  4",0,0
1.35,4619.95931176747,"k =  4",0,0
1.4,4822.70946179747,"k =  4",0,0
1.45,5034.35744371121,"k =  4",0,0
1.5,5255.29374525416,"k =  4",0,0
1.55,5485.9259912046,"k =  4",0,0
1.6,5726.67969494636,"k =  4",0,0
1.65,5977.99904359067,"k =  4",0,0
1.7,6240.34771776173,"k =  4",0,0
1.75,6514.20974716601,"k =  4",0,0
1.8,6800.09040352391,"k =  4",0,0
1.85,7098.51713270625,"k =  4",0,0
1.9,7410.0405278774,"k =  4",0,0
1.95,7735.23534537851,"k =  4",0,0
2,8074.70156515836,"k =  4",0,0
2.05,8429.06549771061,"k =  4",0,0
2.1,8798.98093959402,"k =  4",0,0
2.15,9185.13037968083,"k =  4",0,0
2.2,9588.22625834737,"k =  4",0,0
2.25,10009.0122819188,"k =  4",0,0
2.3,10448.2647947939,"k =  4",0,0
2.35,10906.7942117871,"k =  4",0,0
2.4,11385.4465133336,"k =  4",0,0
2.45,11885.1048063128,"k =  4",0,0
2.5,12406.6909533686,"k =  4",0,0
2.55,12951.1672737325,"k =  4",0,0
2.6,13519.5383186893,"k =  4",0,0
2.65,14112.8527249599,"k =  4",0,0
2.7,14732.2051494224,"k =  4",0,0
2.75,15378.7382887384,"k =  4",0,0
2.8,16053.6449876128,"k =  4",0,0
2.85,16758.1704395757,"k =  4",0,0
2.9,17493.614484347,"k =  4",0,0
2.95,18261.3340060232,"k =  4",0,0
3,19062.7454365093,"k =  4",0,0
3.05,19899.3273688164,"k =  4",0,0
3.1,20772.6232850454,"k =  4",0,0
3.15,21684.2444040899,"k =  4",0,0
3.2,22635.872654313,"k =  4",0,0
3.25,23629.2637766817,"k =  4",0,0
3.3,24666.250564085,"k =  4",0,0
3.35,25748.7462428109,"k =  4",0,0
3.4,26878.7480024232,"k =  4",0,0
3.45,28058.340680548,"k =  4",0,0
3.5,29289.7006093707,"k =  4",0,0
3.55,30575.0996309385,"k =  4",0,0
3.6,31916.9092886778,"k =  4",0,0
3.65,33317.6052028589,"k =  4",0,0
3.7,34779.7716380814,"k =  4",0,0
3.75,36306.1062712062,"k =  4",0,0
3.8,37899.4251685327,"k =  4",0,0
3.85,39562.6679814014,"k =  4",0,0
3.9,41298.9033698108,"k =  4",0,0
3.95,43111.3346640519,"k =  4",0,0
4,45003.305774809,"k =  4",0,0
4.05,46978.3073626281,"k =  4",0,0
4.1,49039.983278138,"k =  4",0,0
4.15,51192.1372849035,"k =  4",0,0
4.2,53438.7400773173,"k =  4",0,0
4.25,55783.9366064762,"k =  4",0,0
4.3,58232.0537275581,"k =  4",0,0
4.35,60787.6081828105,"k =  4",0,0
4.4,63455.3149348772,"k =  4",0,0
4.45,66240.0958658393,"k =  4",0,0
4.5,69147.0888580198,"k =  4",0,0
4.55,72181.6572733051,"k =  4",0,0
4.6,75349.3998484738,"k =  4",0,0
4.65,78656.1610247885,"k =  4",0,0
4.7,82108.0417309093,"k =  4",0,0
4.75,85711.4106390227,"k =  4",0,0
4.8,89472.915914954,"k =  4",0,0
4.85,93399.4974839409,"k =  4",0,0
4.9,97498.3998347,"k =  4",0,0
4.95,101777.185385408,"k =  4",0,0
5,106243.748396726,"k =  4",0,0
5.05,110906.12917862,"k =  4",312.500000000004,34658165.3683192
5.1,115771.928829857,"k =  4",625.000000000003,72357455.5186608
5.15,120848.922018462,"k =  4",937.500000000002,113295864.392308
5.2,126145.261355798,"k =  4",1250,157681576.694748
5.25,131669.4820738,"k =  4",1562.5,205733565.740313
5.3,137430.508086126,"k =  4",1875,257682202.661488
5.35,143437.659225413,"k =  4",2187.5,313769879.555591
5.4,149700.65954295,"k =  4",2500,374251648.857375
5.45,156229.646801619,"k =  4",2812.5,439395881.629553
5.5,163035.182888444,"k =  4",3125,509484946.526388
5.55,170128.266069692,"k =  4",3437.5,584815914.614567
5.6,177520.343075388,"k =  4",3750,665701286.532704
5.65,185223.321802797,"k =  4",4062.5,752469744.823864
5.7,193249.585518169,"k =  4",4375,845466936.641991
5.75,201612.008370112,"k =  4",4687.5,945056289.234899
5.8,210323.971291194,"k =  4",5000,1051619856.45597
5.85,219399.37813017,"k =  4",5312.5,1165559196.31653
5.9,228852.672749631,"k =  4",5625,1287296284.21668
5.95,238698.859037409,"k =  4",5937.5,1417274475.53462
6,248953.517389041,"k =  4",6250,1555959483.68151
6.05,259632.82378336,"k =  4",6562.5,1703840406.0783
6.1,270753.571943731,"k =  4",6875,1861430807.11315
6.15,282333.194906712,"k =  4",7187.5,2029269838.392
6.2,294389.78568516,"k =  4",7500,2207923392.6387
6.25,306942.121885624,"k =  4",7812.5,2397985327.23144
6.3,320009.688034209,"k =  4",8125,2600078715.27795
6.35,333612.702540474,"k =  4",8437.5,2814857177.68525
6.4,347772.140505591,"k =  4",8750,3043006229.42392
6.45,362509.760268176,"k =  4",9062.5,3285244702.43035
6.5,377848.130558189,"k =  4",9375,3542326223.98302
6.55,393810.659158981,"k =  4",9687.5,3815040760.60263
6.6,410421.62201949,"k =  4",10000,4104216220.1949
6.65,427706.193169501,"k =  4",10312.5,4410720117.06048
6.7,445690.47557501,"k =  4",10625,4735461302.98448
6.75,464401.533143668,"k =  4",10937.5,5079391768.75887
6.8,483867.423838298,"k =  4",11250,5443508518.18086
6.85,504117.233849632,"k =  4",11562.5,5828855516.38637
6.9,525181.112821188,"k =  4",11875,6236525714.75161
6.95,547090.310158383,"k =  4",12187.5,6667663155.05529
7,569877.211932444,"k =  4",12500,7123465149.15555
7.05,593574.302130505,"k =  4",13125,7790662715.46288
7.1,618211.011473511,"k =  4",13750,8500401407.76077
7.15,643816.957491535,"k =  4",14375,9254868763.94081
7.2,670423.01245692,"k =  4",15000,10056345186.8538
7.25,698061.286265972,"k =  4",15625,10907207597.9058
7.3,726765.107027938,"k =  4",16250,11809932989.204
7.35,756569.015662115,"k =  4",16875,12767102139.2982
7.4,787508.764945925,"k =  4",17500,13781403386.5537
7.45,819621.318279127,"k =  4",18125,14855636393.8092
7.5,852944.850933028,"k =  4",18750,15992715954.9943
7.55,887518.754904625,"k =  4",19375,17195675876.2771
7.6,923383.646841418,"k =  4",20000,18467672936.8284
7.65,960581.378034095,"k =  4",20625,19811990921.9532
7.7,999155.045300246,"k =  4",21250,21232044712.6302
7.75,1039149.00450717,"k =  4",21875,22731384473.5943
7.8,1080608.88375935,"k =  4",22500,24313699884.5853
7.85,1123581.60031568,"k =  4",23125,25982824507.3002
7.9,1168115.3753023,"k =  4",23750,27742740163.4297
7.95,1214259.75073093,"k =  4",24375,29597581424.0665
8,1262065.60801539,"k =  4",25000,31551640200.3848
8.05,1311585.18491113,"k =  4",25625,33609370363.3477
8.1,1362872.09304412,"k =  4",26250,35775392442.4083
8.15,1415981.33833496,"k =  4",26875,38054498467.752
8.2,1470969.34059628,"k =  4",27500,40451656866.3976
8.25,1527893.95185036,"k =  4",28125,42972017395.7913
8.3,1586814.47694405,"k =  4",28750,45620916212.1415
8.35,1647791.69171379,"k =  4",29375,48403880944.0925
8.4,1710887.86488565,"k =  4",30000,51326635946.5696
8.45,1776166.77499222,"k =  4",30625,54395107484.1368
8.5,1843693.72925062,"k =  4",31250,57615429039.0818
8.55,1913535.5828144,"k =  4",31875,60993946702.2091
8.6,1985760.75780733,"k =  4",32500,64537224628.7381
8.65,2060439.26154919,"k =  4",33125,68252050538.817
8.7,2137642.70415378,"k =  4",33750,72145441265.19
8.75,2217444.31578841,"k =  4",34375,76224648355.2267
8.8,2299918.96357739,"k =  4",35000,80497163725.2085
8.85,2385143.16794114,"k =  4",35625,84970725357.9031
8.9,2473195.11823695,"k =  4",36250,89653323036.0896
8.95,2564154.68769166,"k =  4",36875,94553204108.6301
9,2658103.44763217,"k =  4",37500,99678879286.2064
9.05,2755124.68096265,"k =  4",38125,105039128461.701
9.1,2855303.39480605,"k =  4",38750,110643006548.734
9.15,2958726.33224245,"k =  4",39375,116499849332.046
9.2,3065481.9830982,"k =  4",40000,122619279323.928
9.25,3175660.59374047,"k =  4",40625,129011211620.707
9.3,3289354.17582095,"k =  4",41250,135685859752.614
9.35,3406656.51390665,"k =  4",41875,142653741519.841
