time,N,dead,CTL,con,tumrad,deaths
0,180,0,0,0,11.9164,0
0.000694444,180,0,0,0,11.9164,0
0.00138889,180,0,0,0,11.9164,0
0.00208333,180,0,0,0,11.9164,0
0.00277778,180,0,0,0,11.9164,0
0.00347222,181,0,0,0,11.9164,0
0.00416667,182,0,0,0,11.9164,0
0.00486111,182,0,0,0,11.9164,0
0.00555556,182,0,0,0,11.9164,0
0.00625,182,0,0,0,11.9164,0
0.00694444,182,0,0,0,11.9164,0
0.00763889,182,0,0,0,11.9164,0
0.00833333,182,0,0,0,11.9164,0
0.00902778,183,0,0,0,11.9164,0
0.00972222,184,0,0,0,11.9164,0
0.0104167,184,0,0,0,11.9164,0
0.0111111,184,0,0,0,11.9164,0
0.0118056,185,0,0,0,11.9164,0
0.0125,185,0,0,0,11.9164,0
0.0131944,186,0,0,0,11.9164,0
0.0138889,186,0,0,0,11.9164,0
0.0145833,186,0,0,0,11.9164,0
0.0152778,187,0,0,0,11.9164,0
0.0159722,187,0,0,0,11.9164,0
0.0166667,187,0,0,0,11.9164,0
0.0173611,187,0,0,0,11.9164,0
0.0180556,187,0,0,0,11.9164,0
0.01875,187,0,0,0,11.9164,0
0.0194444,187,0,0,0,11.9164,0
0.0201389,187,0,0,0,11.9164,0
0.0208333,187,0,0,0,11.9164,0
0.0215278,187,0,0,0,11.9164,0
0.0222222,187,0,0,0,11.9164,0
0.0229167,187,0,0,0,11.9164,0
0.0236111,188,0,0,0,11.9164,0
0.0243056,189,0,0,0,11.9164,0
0.025,189,0,0,0,11.9164,0
0.0256944,189,0,0,0,11.9164,0
0.0263889,189,0,0,0,11.9164,0
0.0270833,190,0,0,0,11.9164,0
0.0277778,190,0,0,0,11.9164,0
0.0284722,192,0,0,0,11.9164,0
0.0291667,193,0,0,0,11.9164,0
0.0298611,193,0,0,0,11.9164,0
0.0305556,194,0,0,0,11.9164,0
0.03125,197,0,0,0,11.9164,0
0.0319444,198,0,0,0,12.6886,0
0.0326389,199,0,0,0,12.6886,0
0.0333333,199,0,0,0,12.6886,0
0.0340278,200,0,0,0,12.6886,0
0.0347222,200,0,0,0,12.6886,0
0.0354167,202,0,0,0,12.6886,0
0.0361111,202,0,0,0,12.6886,0
0.0368056,202,0,0,0,12.6886,0
0.0375,202,0,0,0,12.6886,0
0.0381945,203,0,0,0,12.6886,0
0.0388889,203,0,0,0,12.6886,0
0.0395834,203,0,0,0,12.6886,0
0.0402778,204,0,0,0,12.6886,0
0.0409722,204,0,0,0,12.6886,0
0.0416667,204,0,0,0,12.6886,0
0.0423611,204,0,0,0,12.6886,0
0.0430556,204,0,0,0,12.6886,0
0.04375,204,0,0,0,12.6886,0
0.0444445,205,0,0,0,12.6886,0
0.0451389,205,0,0,0,12.6886,0
0.0458334,206,0,0,0,12.6886,0
0.0465278,207,0,0,0,12.6886,0
0.0472223,207,0,0,0,12.6886,0
0.0479167,208,0,0,0,12.6886,0
0.0486112,208,0,0,0,12.6886,0
0.0493056,210,0,0,0,12.6886,0
0.05,210,0,0,0,12.6886,0
0.0506945,210,0,0,0,12.6886,0
0.0513889,211,0,0,0,12.6886,0
0.0520834,211,0,0,0,12.6886,0
0.0527778,211,0,0,0,12.6886,0
0.0534723,211,0,0,0,12.6886,0
0.0541667,211,0,0,0,12.6886,0
0.0548612,211,0,0,0,12.6886,0
0.0555556,211,0,0,0,12.6886,0
0.0562501,212,0,0,0,12.6886,0
0.0569445,212,0,0,0,12.6886,0
0.057639,213,0,0,0,12.6886,0
0.0583334,214,0,0,0,12.6886,0
0.0590279,214,0,0,0,12.6886,0
0.0597223,214,0,0,0,12.6886,0
0.0604167,214,0,0,0,12.6886,0
0.0611112,214,0,0,0,12.6886,0
0.0618056,215,0,0,0,12.6886,0
0.0625001,215,0,0,0,12.6886,0
0.0631945,216,0,0,0,12.6886,0
0.063889,216,0,0,0,12.6886,0
0.0645834,217,0,0,0,12.6886,0
0.0652779,217,0,0,0,12.6886,0
0.0659723,217,0,0,0,12.6886,0
0.0666668,218,0,0,0,12.6886,0
0.0673612,219,0,0,0,12.6886,0
0.0680557,219,0,0,0,12.6886,0
0.0687501,219,0,0,0,12.6886,0
0.0694445,219,0,0,0,12.6886,0
0.070139,219,0,0,0,12.6886,0
0.0708334,219,0,0,0,12.6886,0
0.0715279,220,0,0,0,12.6886,0
0.0722223,220,0,0,0,12.6886,0
0.0729168,220,0,0,0,12.6886,0
0.0736112,221,0,0,0,12.6886,0
0.0743057,221,0,0,0,12.6886,0
0.0750001,223,0,0,0,12.6886,0
0.0756946,223,0,0,0,12.6886,0
0.076389,223,0,0,0,12.6886,0
0.0770835,223,0,0,0,12.6886,0
0.0777779,223,0,0,0,12.6886,0
0.0784723,223,0,0,0,12.6886,0
0.0791668,223,0,0,0,12.6886,0
0.0798612,223,0,0,0,12.6886,0
0.0805557,223,0,0,0,12.6886,0
0.0812501,225,0,0,0,12.6886,0
0.0819446,226,0,0,0,12.7279,0
0.082639,227,0,0,0,12.7279,0
0.0833335,228,0,0,0,12.7279,0
0.0840279,229,0,0,0,12.7279,0
0.0847224,229,0,0,0,12.7279,0
0.0854168,229,0,0,0,12.7279,0
0.0861113,229,0,0,0,12.7279,0
0.0868057,230,0,0,0,12.7279,0
0.0875001,231,0,0,0,12.7279,0
0.0881946,231,0,0,0,12.7279,0
0.088889,231,0,0,0,12.7279,0
0.0895835,231,0,0,0,12.7279,0
0.0902779,232,0,0,0,12.7279,0
0.0909724,232,0,0,0,12.7279,0
0.0916668,232,0,0,0,12.7279,0
0.0923613,232,0,0,0,12.7279,0
0.0930557,233,0,0,0,12.7279,0
0.0937502,233,0,0,0,12.7279,0
0.0944446,233,0,0,0,12.7279,0
0.0951391,233,0,0,0,12.7279,0
0.0958335,233,0,0,0,12.7279,0
0.0965279,233,0,0,0,12.7279,0
0.0972224,233,0,0,0,12.7279,0
0.0979168,233,0,0,0,12.7279,0
0.0986113,233,0,0,0,12.7279,0
0.0993057,234,0,0,0,13.4164,0
0.1,234,0,0,0,13.4164,0
0.100695,234,0,0,0,13.4164,0
0.101389,235,0,0,0,13.4164,0
0.102084,236,0,0,0,13.4164,0
0.102778,237,0,0,0,13.4164,0
0.103472,237,0,0,0,13.4164,0
0.104167,237,0,0,0,13.4164,0
0.104861,238,0,0,0,13.4164,0
0.105556,238,0,0,0,13.4164,0
0.10625,239,0,0,0,13.4164,0
0.106945,240,0,0,0,13.4164,0
0.107639,240,0,0,0,13.4164,0
0.108334,240,0,0,0,13.4164,0
0.109028,241,0,0,0,13.4164,0
0.109722,242,0,0,0,13.4164,0
0.110417,242,0,0,0,13.4164,0
0.111111,244,0,0,0,13.4164,0
0.111806,244,0,0,0,13.4164,0
0.1125,246,0,0,0,13.4164,0
0.113195,247,0,0,0,13.4164,0
0.113889,247,0,0,0,13.4164,0
0.114584,247,0,0,0,13.4164,0
0.115278,247,0,0,0,13.4164,0
0.115972,250,0,0,0,13.4164,0
0.116667,250,0,0,0,13.4164,0
0.117361,251,0,0,0,13.4164,0
0.118056,251,0,0,0,13.4164,0
0.11875,252,0,0,0,13.4164,0
0.119445,252,0,0,0,13.4164,0
0.120139,252,0,0,0,13.4164,0
0.120834,252,0,0,0,13.4164,0
0.121528,252,0,0,0,13.4164,0
0.122222,252,0,0,0,13.4164,0
0.122917,252,0,0,0,13.4164,0
0.123611,252,0,0,0,13.4164,0
0.124306,252,0,0,0,13.4164,0
0.125,252,0,0,0,13.4164,0
0.125695,252,0,0,0,13.4164,0
0.126389,252,0,0,0,13.4164,0
0.127084,253,0,0,0,13.4164,0
0.127778,254,0,0,0,13.4164,0
0.128472,254,0,0,0,13.4164,0
0.129167,254,0,0,0,13.4164,0
0.129861,254,0,0,0,13.4164,0
0.130556,255,0,0,0,13.4164,0
0.13125,256,0,0,0,13.4164,0
0.131945,256,0,0,0,13.4164,0
0.132639,256,0,0,0,13.4164,0
0.133334,256,0,0,0,13.4164,0
0.134028,256,0,0,0,13.4164,0
0.134722,256,0,0,0,13.4164,0
0.135417,256,0,0,0,13.4164,0
0.136111,256,0,0,0,13.4164,0
0.136806,256,0,0,0,13.4164,0
0.1375,256,0,0,0,13.4164,0
0.138195,256,0,0,0,13.4164,0
0.138889,256,0,0,0,13.4164,0
0.139583,256,0,0,0,13.4164,0
0.140278,256,0,0,0,13.4164,0
0.140972,257,0,0,0,13.4164,0
0.141667,257,0,0,0,13.4164,0
0.142361,257,0,0,0,13.4164,0
0.143056,257,0,0,0,13.4164,0
0.14375,257,0,0,0,13.4164,0
0.144445,258,0,0,0,13.4164,0
0.145139,258,0,0,0,13.4164,0
0.145833,259,0,0,0,13.4164,0
0.146528,259,0,0,0,13.4164,0
0.147222,260,0,0,0,13.4164,0
0.147917,260,0,0,0,13.4164,0
0.148611,260,0,0,0,13.4164,0
0.149306,261,0,0,0,13.4164,0
0.15,262,0,0,0,13.4164,0
0.150694,263,0,0,0,13.4164,0
0.151389,263,0,0,0,13.4164,0
0.152083,264,0,0,0,13.4164,0
0.152778,264,0,0,0,13.4164,0
0.153472,264,0,0,0,13.4164,0
0.154167,264,0,0,0,13.4164,0
0.154861,265,0,0,0,13.4164,0
0.155556,265,0,0,0,13.4164,0
0.15625,265,0,0,0,13.4164,0
0.156944,265,0,0,0,13.4164,0
0.157639,265,0,0,0,13.4164,0
0.158333,265,0,0,0,13.4164,0
0.159028,265,0,0,0,13.4164,0
0.159722,265,0,0,0,13.4164,0
0.160417,265,0,0,0,13.4164,0
0.161111,265,0,0,0,13.4164,0
0.161805,265,0,0,0,13.4164,0
0.1625,265,0,0,0,13.4164,0
0.163194,265,0,0,0,13.4164,0
0.163889,265,0,0,0,13.4164,0
0.164583,265,0,0,0,13.4164,0
0.165278,265,0,0,0,13.4164,0
0.165972,265,0,0,0,13.4164,0
0.166667,265,0,0,0,13.4164,0
0.167361,266,0,0,0,13.4164,0
0.168055,266,0,0,0,13.4164,0
0.16875,266,0,0,0,13.4164,0
0.169444,266,0,0,0,13.4164,0
0.170139,266,0,0,0,13.4164,0
0.170833,266,0,0,0,13.4164,0
0.171528,266,0,0,0,13.4164,0
0.172222,266,0,0,0,13.4164,0
0.172917,266,0,0,0,13.4164,0
0.173611,266,0,0,0,13.4164,0
0.174305,267,0,0,0,13.4164,0
0.175,267,0,0,0,13.4164,0
0.175694,268,0,0,0,13.4164,0
0.176389,269,0,0,0,13.4164,0
0.177083,269,0,0,0,13.4164,0
0.177778,269,0,0,0,13.4164,0
0.178472,269,0,0,0,13.4164,0
0.179166,269,0,0,0,13.4164,0
0.179861,269,0,0,0,13.4164,0
0.180555,269,0,0,0,13.4164,0
0.18125,269,0,0,0,13.4164,0
0.181944,269,0,0,0,13.4164,0
0.182639,270,0,0,0,13.4164,0
0.183333,271,0,0,0,13.4164,0
0.184028,271,0,0,0,13.4164,0
0.184722,271,0,0,0,13.4164,0
0.185416,271,0,0,0,13.4164,0
0.186111,272,0,0,0,13.4164,0
0.186805,272,0,0,0,13.4164,0
0.1875,273,0,0,0,13.4164,0
0.188194,273,0,0,0,13.4164,0
0.188889,273,0,0,0,13.4164,0
0.189583,274,0,0,0,13.4164,0
0.190277,274,0,0,0,13.4164,0
0.190972,274,0,0,0,13.4164,0
0.191666,275,0,0,0,13.4164,0
0.192361,275,0,0,0,13.4164,0
0.193055,275,0,0,0,13.4164,0
0.19375,276,0,0,0,13.4164,0
0.194444,276,0,0,0,13.4164,0
0.195139,277,0,0,0,13.4164,0
0.195833,277,0,0,0,13.4164,0
0.196527,277,0,0,0,13.4164,0
0.197222,277,0,0,0,13.4164,0
0.197916,277,0,0,0,13.4164,0
0.198611,281,0,0,0,13.4164,0
0.199305,281,0,0,0,13.4164,0
0.2,281,0,0,0,13.4164,0
0.200694,281,0,0,0,13.4164,0
0.201389,281,0,0,0,13.4164,0
0.202083,281,0,0,0,13.4164,0
0.202777,281,0,0,0,13.4164,0
0.203472,281,0,0,0,13.4164,0
0.204166,282,0,0,0,13.4164,0
0.204861,282,0,0,0,13.4164,0
0.205555,282,0,0,0,13.4164,0
0.20625,283,0,0,0,13.4164,0
0.206944,283,0,0,0,13.4164,0
0.207638,283,0,0,0,13.4164,0
0.208333,283,0,0,0,13.4164,0
0.209027,284,0,0,0,13.4164,0
0.209722,284,0,0,0,13.4164,0
0.210416,285,0,0,0,13.4164,0
0.211111,285,0,0,0,13.4164,0
0.211805,285,0,0,0,13.4164,0
0.2125,285,0,0,0,13.4164,0
0.213194,285,0,0,0,13.4164,0
0.213888,286,0,0,0,13.4164,0
0.214583,287,0,0,0,13.4164,0
0.215277,287,0,0,0,13.4164,0
0.215972,287,0,0,0,13.4164,0
0.216666,287,0,0,0,13.4164,0
0.217361,291,0,0,0,13.4164,0
0.218055,292,0,0,0,13.4164,0
0.218749,292,0,0,0,13.4164,0
0.219444,292,0,0,0,13.4164,0
0.220138,292,0,0,0,13.4164,0
0.220833,292,0,0,0,13.4164,0
0.221527,292,0,0,0,13.4164,0
0.222222,294,0,0,0,13.4164,0
0.222916,294,0,0,0,13.4164,0
0.223611,295,0,0,0,13.4164,0
0.224305,296,0,0,0,13.4164,0
0.224999,298,0,0,0,13.4164,0
0.225694,298,0,0,0,13.4164,0
0.226388,300,0,0,0,13.4164,0
0.227083,300,0,0,0,13.4164,0
0.227777,300,0,0,0,13.4164,0
