time,N,dead,CTL,con,tumrad,deaths
0,180,0,0,0,11.8743,0
0.000694444,182,0,0,0,11.8743,0
0.00138889,182,0,0,0,11.8743,0
0.00208333,182,0,0,0,11.8743,0
0.00277778,182,0,0,0,11.8743,0
0.00347222,183,0,0,0,11.8743,0
0.00416667,183,0,0,0,11.8743,0
0.00486111,184,0,0,0,11.8743,0
0.00555556,184,0,0,0,11.8743,0
0.00625,184,0,0,0,11.8743,0
0.00694444,184,0,0,0,11.8743,0
0.00763889,184,0,0,0,11.8743,0
0.00833333,185,0,0,0,11.8743,0
0.00902778,186,0,0,0,11.8743,0
0.00972222,186,0,0,0,11.8743,0
0.0104167,186,0,0,0,11.8743,0
0.0111111,187,0,0,0,11.8743,0
0.0118056,187,0,0,0,11.8743,0
0.0125,188,0,0,0,11.8743,0
0.0131944,189,0,0,0,12.083,0
0.0138889,189,0,0,0,12.083,0
0.0145833,190,0,0,0,12.083,0
0.0152778,190,0,0,0,12.083,0
0.0159722,190,0,0,0,12.083,0
0.0166667,190,0,0,0,12.083,0
0.0173611,190,0,0,0,12.083,0
0.0180556,190,0,0,0,12.083,0
0.01875,190,0,0,0,12.083,0
0.0194444,190,0,0,0,12.083,0
0.0201389,190,0,0,0,12.083,0
0.0208333,190,0,0,0,12.083,0
0.0215278,190,0,0,0,12.083,0
0.0222222,190,0,0,0,12.083,0
0.0229167,190,0,0,0,12.083,0
0.0236111,190,0,0,0,12.083,0
0.0243056,190,0,0,0,12.083,0
0.025,190,0,0,0,12.083,0
0.0256944,191,0,0,0,12.083,0
0.0263889,192,0,0,0,12.083,0
0.0270833,192,0,0,0,12.083,0
0.0277778,192,0,0,0,12.083,0
0.0284722,192,0,0,0,12.083,0
0.0291667,193,0,0,0,12.083,0
0.0298611,193,0,0,0,12.083,0
0.0305556,193,0,0,0,12.083,0
0.03125,194,0,0,0,12.083,0
0.0319444,195,0,0,0,12.083,0
0.0326389,196,0,0,0,12.3693,0
0.0333333,196,0,0,0,12.3693,0
0.0340278,196,0,0,0,12.3693,0
0.0347222,196,0,0,0,12.3693,0
0.0354167,196,0,0,0,12.3693,0
0.0361111,196,0,0,0,12.3693,0
0.0368056,196,0,0,0,12.3693,0
