time,N,dead,CTL,con,tumrad,deaths
0,180,0,0,0,11.9164,0
0.000694444,180,0,0,0,11.9164,0
0.00138889,180,0,0,0,11.9164,0
0.00208333,180,0,0,0,11.9164,0
0.00277778,180,0,0,0,11.9164,0
0.00347222,181,0,0,0,11.9164,0
0.00416667,181,0,0,0,11.9164,0
0.00486111,181,0,0,0,11.9164,0
0.00555556,181,0,0,0,11.9164,0
0.00625,181,0,0,0,11.9164,0
0.00694444,181,0,0,0,11.9164,0
0.00763889,181,0,0,0,11.9164,0
0.00833333,181,0,0,0,11.9164,0
0.00902778,182,0,0,0,11.9164,0
0.00972222,184,0,0,0,11.9164,0
0.0104167,185,0,0,0,11.9164,0
0.0111111,185,0,0,0,11.9164,0
0.0118056,185,0,0,0,11.9164,0
0.0125,185,0,0,0,11.9164,0
0.0131944,186,0,0,0,11.9164,0
0.0138889,186,0,0,0,11.9164,0
0.0145833,187,0,0,0,11.9164,0
0.0152778,187,0,0,0,11.9164,0
0.0159722,188,0,0,0,11.9164,0
0.0166667,188,0,0,0,11.9164,0
0.0173611,190,0,0,0,11.9164,0
0.0180556,190,0,0,0,11.9164,0
0.01875,190,0,0,0,11.9164,0
0.0194444,190,0,0,0,11.9164,0
0.0201389,191,0,0,0,11.9164,0
0.0208333,192,0,0,0,11.9164,0
0.0215278,192,0,0,0,11.9164,0
0.0222222,193,0,0,0,11.9164,0
0.0229167,193,0,0,0,11.9164,0
0.0236111,193,0,0,0,11.9164,0
0.0243056,193,0,0,0,11.9164,0
0.025,193,0,0,0,11.9164,0
0.0256944,194,0,0,0,11.9164,0
0.0263889,194,0,0,0,11.9164,0
0.0270833,194,0,0,0,11.9164,0
0.0277778,194,0,0,0,11.9164,0
0.0284722,196,0,0,0,11.9164,0
0.0291667,196,0,0,0,11.9164,0
0.0298611,196,0,0,0,11.9164,0
0.0305556,197,0,0,0,11.9164,0
0.03125,198,0,0,0,11.9164,0
0.0319444,198,0,0,0,11.9164,0
0.0326389,198,0,0,0,11.9164,0
0.0333333,198,0,0,0,11.9164,0
0.0340278,198,0,0,0,11.9164,0
0.0347222,199,0,0,0,11.9164,0
0.0354167,199,0,0,0,11.9164,0
0.0361111,199,0,0,0,11.9164,0
0.0368056,201,0,0,0,11.9164,0
0.0375,201,0,0,0,11.9164,0
0.0381945,201,0,0,0,11.9164,0
0.0388889,202,0,0,0,11.9164,0
0.0395834,202,0,0,0,11.9164,0
0.0402778,202,0,0,0,11.9164,0
0.0409722,203,0,0,0,11.9164,0
0.0416667,204,0,0,0,12.0416,0
0.0423611,204,0,0,0,12.0416,0
0.0430556,204,0,0,0,12.0416,0
0.04375,204,0,0,0,12.0416,0
0.0444445,205,0,0,0,12.083,0
0.0451389,205,0,0,0,12.083,0
0.0458334,206,0,0,0,12.083,0
0.0465278,206,0,0,0,12.083,0
0.0472223,206,0,0,0,12.083,0
0.0479167,206,0,0,0,12.083,0
0.0486112,206,0,0,0,12.083,0
0.0493056,206,0,0,0,12.083,0
0.05,206,0,0,0,12.083,0
0.0506945,207,0,0,0,12.083,0
0.0513889,208,0,0,0,12.083,0
0.0520834,210,0,0,0,12.083,0
0.0527778,210,0,0,0,12.083,0
0.0534723,211,0,0,0,12.083,0
0.0541667,212,0,0,0,12.083,0
0.0548612,212,0,0,0,12.083,0
0.0555556,213,0,0,0,12.083,0
0.0562501,213,0,0,0,12.083,0
0.0569445,214,0,0,0,12.083,0
0.057639,214,0,0,0,12.083,0
0.0583334,214,0,0,0,12.083,0
0.0590279,215,0,0,0,12.083,0
0.0597223,215,0,0,0,12.083,0
0.0604167,215,0,0,0,12.083,0
0.0611112,215,0,0,0,12.083,0
0.0618056,216,0,0,0,12.083,0
0.0625001,216,0,0,0,12.083,0
0.0631945,216,0,0,0,12.083,0
0.063889,216,0,0,0,12.083,0
0.0645834,216,0,0,0,12.083,0
0.0652779,217,0,0,0,12.083,0
0.0659723,217,0,0,0,12.083,0
0.0666668,217,0,0,0,12.083,0
0.0673612,217,0,0,0,12.083,0
0.0680557,217,0,0,0,12.083,0
0.0687501,217,0,0,0,12.083,0
0.0694445,217,0,0,0,12.083,0
0.070139,218,0,0,0,12.083,0
0.0708334,219,0,0,0,12.083,0
0.0715279,219,0,0,0,12.083,0
0.0722223,220,0,0,0,12.083,0
0.0729168,220,0,0,0,12.083,0
0.0736112,220,0,0,0,12.083,0
0.0743057,220,0,0,0,12.083,0
0.0750001,222,0,0,0,12.083,0
0.0756946,222,0,0,0,12.083,0
0.076389,222,0,0,0,12.083,0
0.0770835,222,0,0,0,12.083,0
0.0777779,223,0,0,0,12.083,0
0.0784723,224,0,0,0,12.083,0
0.0791668,225,0,0,0,12.083,0
0.0798612,225,0,0,0,12.083,0
0.0805557,228,0,0,0,12.083,0
0.0812501,228,0,0,0,12.083,0
0.0819446,229,0,0,0,12.083,0
0.082639,229,0,0,0,12.083,0
0.0833335,229,0,0,0,12.083,0
0.0840279,229,0,0,0,12.083,0
0.0847224,229,0,0,0,12.083,0
0.0854168,230,0,0,0,12.083,0
0.0861113,230,0,0,0,12.083,0
0.0868057,230,0,0,0,12.083,0
0.0875001,230,0,0,0,12.083,0
0.0881946,230,0,0,0,12.083,0
0.088889,230,0,0,0,12.083,0
0.0895835,230,0,0,0,12.083,0
0.0902779,231,0,0,0,12.083,0
0.0909724,231,0,0,0,12.083,0
0.0916668,231,0,0,0,12.083,0
0.0923613,232,0,0,0,12.083,0
0.0930557,233,0,0,0,12.083,0
0.0937502,234,0,0,0,12.083,0
0.0944446,235,0,0,0,12.083,0
0.0951391,235,0,0,0,12.083,0
0.0958335,235,0,0,0,12.083,0
0.0965279,235,0,0,0,12.083,0
0.0972224,235,0,0,0,12.083,0
0.0979168,235,0,0,0,12.083,0
0.0986113,235,0,0,0,12.083,0
0.0993057,235,0,0,0,12.083,0
0.1,235,0,0,0,12.083,0
0.100695,236,0,0,0,12.083,0
0.101389,237,0,0,0,12.083,0
0.102084,237,0,0,0,12.083,0
0.102778,238,0,0,0,12.083,0
0.103472,239,0,0,0,12.083,0
0.104167,240,0,0,0,12.083,0
0.104861,240,0,0,0,12.083,0
0.105556,241,0,0,0,12.083,0
0.10625,242,0,0,0,12.083,0
0.106945,242,0,0,0,12.083,0
0.107639,242,0,0,0,12.083,0
0.108334,242,0,0,0,12.083,0
0.109028,242,0,0,0,12.083,0
0.109722,242,0,0,0,12.083,0
0.110417,243,0,0,0,12.083,0
0.111111,243,0,0,0,12.083,0
0.111806,244,0,0,0,12.083,0
0.1125,244,0,0,0,12.083,0
0.113195,244,0,0,0,12.083,0
0.113889,244,0,0,0,12.083,0
0.114584,244,0,0,0,12.083,0
0.115278,245,0,0,0,12.083,0
0.115972,245,0,0,0,12.083,0
0.116667,245,0,0,0,12.083,0
0.117361,245,0,0,0,12.083,0
0.118056,245,0,0,0,12.083,0
0.11875,247,0,0,0,12.083,0
0.119445,248,0,0,0,12.083,0
0.120139,248,0,0,0,12.083,0
0.120834,248,0,0,0,12.083,0
0.121528,249,0,0,0,12.083,0
0.122222,249,0,0,0,12.083,0
0.122917,249,0,0,0,12.083,0
0.123611,249,0,0,0,12.083,0
0.124306,250,0,0,0,12.083,0
0.125,251,0,0,0,12.083,0
0.125695,251,0,0,0,12.083,0
0.126389,251,0,0,0,12.083,0
0.127084,251,0,0,0,12.083,0
0.127778,251,0,0,0,12.083,0
0.128472,253,0,0,0,12.083,0
0.129167,253,0,0,0,12.083,0
0.129861,255,0,0,0,12.083,0
0.130556,256,0,0,0,12.083,0
0.13125,256,0,0,0,12.083,0
0.131945,256,0,0,0,12.083,0
0.132639,256,0,0,0,12.083,0
0.133334,256,0,0,0,12.083,0
0.134028,256,0,0,0,12.083,0
0.134722,257,0,0,0,12.083,0
0.135417,257,0,0,0,12.083,0
0.136111,257,0,0,0,12.083,0
0.136806,257,0,0,0,12.083,0
0.1375,258,0,0,0,12.083,0
0.138195,258,0,0,0,12.083,0
0.138889,258,0,0,0,12.083,0
0.139583,259,0,0,0,12.083,0
0.140278,259,0,0,0,12.083,0
0.140972,259,0,0,0,12.083,0
0.141667,260,0,0,0,12.083,0
0.142361,260,0,0,0,12.083,0
0.143056,261,0,0,0,12.083,0
0.14375,261,0,0,0,12.083,0
0.144445,261,0,0,0,12.083,0
0.145139,261,0,0,0,12.083,0
0.145833,262,0,0,0,12.083,0
0.146528,263,0,0,0,12.083,0
0.147222,263,0,0,0,12.083,0
0.147917,263,0,0,0,12.083,0
0.148611,263,0,0,0,12.083,0
0.149306,263,0,0,0,12.083,0
0.15,263,0,0,0,12.083,0
0.150694,264,0,0,0,12.5698,0
0.151389,264,0,0,0,12.5698,0
0.152083,266,0,0,0,12.5698,0
0.152778,267,0,0,0,12.5698,0
0.153472,267,0,0,0,12.5698,0
0.154167,268,0,0,0,12.8841,0
0.154861,268,0,0,0,12.8841,0
0.155556,268,0,0,0,12.8841,0
0.15625,268,0,0,0,12.8841,0
0.156944,268,0,0,0,12.8841,0
0.157639,268,0,0,0,12.8841,0
0.158333,269,0,0,0,12.8841,0
0.159028,269,0,0,0,12.8841,0
0.159722,269,0,0,0,12.8841,0
0.160417,269,0,0,0,12.8841,0
0.161111,270,0,0,0,12.8841,0
0.161805,270,0,0,0,12.8841,0
0.1625,270,0,0,0,12.8841,0
0.163194,271,0,0,0,12.8841,0
0.163889,271,0,0,0,12.8841,0
0.164583,271,0,0,0,12.8841,0
0.165278,272,0,0,0,12.8841,0
0.165972,272,0,0,0,12.8841,0
0.166667,272,0,0,0,12.8841,0
0.167361,273,0,0,0,12.8841,0
0.168055,273,0,0,0,12.8841,0
0.16875,273,0,0,0,12.8841,0
0.169444,275,0,0,0,12.8841,0
0.170139,277,0,0,0,12.8841,0
0.170833,278,0,0,0,12.8841,0
0.171528,278,0,0,0,12.8841,0
0.172222,279,0,0,0,12.8841,0
0.172917,279,0,0,0,12.8841,0
0.173611,279,0,0,0,12.8841,0
0.174305,281,0,0,0,12.8841,0
0.175,281,0,0,0,12.8841,0
0.175694,281,0,0,0,12.8841,0
0.176389,282,0,0,0,12.8841,0
0.177083,283,0,0,0,12.8841,0
0.177778,283,0,0,0,12.8841,0
0.178472,285,0,0,0,12.8841,0
0.179166,286,0,0,0,12.8841,0
0.179861,286,0,0,0,12.8841,0
0.180555,287,0,0,0,12.8841,0
0.18125,288,0,0,0,12.8841,0
0.181944,290,0,0,0,12.8841,0
0.182639,291,0,0,0,12.8841,0
0.183333,292,0,0,0,12.8841,0
0.184028,294,0,0,0,12.8841,0
0.184722,295,0,0,0,12.8841,0
0.185416,295,0,0,0,12.8841,0
0.186111,295,0,0,0,12.8841,0
0.186805,295,0,0,0,12.8841,0
0.1875,295,0,0,0,12.8841,0
0.188194,296,0,0,0,12.8841,0
0.188889,296,0,0,0,12.8841,0
0.189583,296,0,0,0,12.8841,0
0.190277,296,0,0,0,12.8841,0
0.190972,296,0,0,0,12.8841,0
0.191666,297,0,0,0,12.8841,0
0.192361,297,0,0,0,12.8841,0
0.193055,297,0,0,0,12.8841,0
0.19375,297,0,0,0,12.8841,0
0.194444,297,0,0,0,12.8841,0
0.195139,297,0,0,0,12.8841,0
0.195833,299,0,0,0,12.8841,0
0.196527,300,0,0,0,12.8841,0
0.197222,300,0,0,0,12.8841,0
0.197916,300,0,0,0,12.8841,0
0.198611,300,0,0,0,12.8841,0
0.199305,301,0,0,0,12.8841,0
0.2,301,0,0,0,12.8841,0
0.200694,301,0,0,0,12.8841,0
0.201389,301,0,0,0,12.8841,0
0.202083,301,0,0,0,12.8841,0
0.202777,301,0,0,0,12.8841,0
0.203472,301,0,0,0,12.8841,0
0.204166,302,0,0,0,12.8841,0
0.204861,302,0,0,0,12.8841,0
0.205555,302,0,0,0,12.8841,0
0.20625,302,0,0,0,12.8841,0
0.206944,302,0,0,0,12.8841,0
0.207638,302,0,0,0,12.8841,0
0.208333,302,0,0,0,12.8841,0
0.209027,302,0,0,0,12.8841,0
0.209722,303,0,0,0,12.8841,0
0.210416,304,0,0,0,12.8841,0
0.211111,304,0,0,0,12.8841,0
0.211805,304,0,0,0,12.8841,0
0.2125,304,0,0,0,12.8841,0
0.213194,306,0,0,0,12.8841,0
0.213888,307,0,0,0,12.8841,0
0.214583,307,0,0,0,12.8841,0
0.215277,307,0,0,0,12.8841,0
0.215972,307,0,0,0,12.8841,0
0.216666,307,0,0,0,12.8841,0
0.217361,308,0,0,0,12.8841,0
0.218055,308,0,0,0,12.8841,0
0.218749,308,0,0,0,12.8841,0
0.219444,308,0,0,0,12.8841,0
0.220138,309,0,0,0,12.8841,0
0.220833,309,0,0,0,12.8841,0
0.221527,309,0,0,0,12.8841,0
0.222222,309,0,0,0,12.8841,0
0.222916,310,0,0,0,12.8841,0
0.223611,311,0,0,0,12.8841,0
0.224305,311,0,0,0,12.8841,0
0.224999,311,0,0,0,12.8841,0
0.225694,311,0,0,0,12.8841,0
0.226388,313,0,0,0,12.8841,0
0.227083,313,0,0,0,12.8841,0
0.227777,313,0,0,0,12.8841,0
0.228472,314,0,0,0,12.8841,0
0.229166,314,0,0,0,12.8841,0
0.22986,314,0,0,0,12.8841,0
0.230555,314,0,0,0,12.8841,0
0.231249,314,0,0,0,12.8841,0
0.231944,314,0,0,0,12.8841,0
0.232638,315,0,0,0,12.8841,0
0.233333,316,0,0,0,12.8841,0
