time,N,dead,CTL,con,tumrad,deaths,eg7
0,180,0,0,0,11.9164,0,99
0.000694444,180,0,0,0,11.9164,0,99
0.00138889,180,0,0,0,11.9164,0,99
0.00208333,180,0,0,0,11.9164,0,99
0.00277778,181,0,0,0,11.9164,0,100
0.00347222,181,0,0,0,11.9164,0,100
0.00416667,181,0,0,0,11.9164,0,100
0.00486111,181,0,0,0,11.9164,0,100
0.00555556,181,0,0,0,11.9164,0,100
0.00625,181,0,0,0,11.9164,0,100
0.00694444,181,0,0,0,11.9164,0,100
0.00763889,181,0,0,0,11.9164,0,100
0.00833333,181,0,0,0,11.9164,0,100
0.00902778,181,0,0,0,11.9164,0,100
0.00972222,181,0,0,0,11.9164,0,100
0.0104167,182,0,0,0,11.9164,0,101
0.0111111,182,0,0,0,11.9164,0,101
0.0118056,183,0,0,0,11.9164,0,102
0.0125,183,0,0,0,11.9164,0,102
0.0131944,183,0,0,0,11.9164,0,102
0.0138889,184,0,0,0,11.9164,0,102
0.0145833,184,0,0,0,11.9164,0,102
0.0152778,184,0,0,0,11.9164,0,102
0.0159722,184,0,0,0,11.9164,0,102
0.0166667,186,0,0,0,11.9164,0,103
0.0173611,186,0,0,0,11.9164,0,103
0.0180556,186,0,0,0,11.9164,0,103
0.01875,187,0,0,0,11.9164,0,104
0.0194444,187,0,0,0,11.9164,0,104
0.0201389,187,0,0,0,11.9164,0,104
0.0208333,187,0,0,0,11.9164,0,104
0.0215278,188,0,0,0,12.083,0,104
0.0222222,188,0,0,0,12.083,0,104
0.0229167,188,0,0,0,12.083,0,104
0.0236111,188,0,0,0,12.083,0,104
0.0243056,188,0,0,0,12.083,0,104
0.025,188,0,0,0,12.083,0,104
0.0256944,188,0,0,0,12.083,0,104
0.0263889,188,0,0,0,12.083,0,104
0.0270833,188,0,0,0,12.083,0,104
0.0277778,188,0,0,0,12.083,0,104
0.0284722,188,0,0,0,12.083,0,104
0.0291667,189,0,0,0,12.083,0,104
0.0298611,190,0,0,0,12.083,0,105
0.0305556,191,0,0,0,12.083,0,106
0.03125,191,0,0,0,12.083,0,106
0.0319444,191,0,0,0,12.083,0,106
0.0326389,192,0,0,0,12.083,0,107
0.0333333,192,0,0,0,12.083,0,107
0.0340278,195,0,0,0,12.083,0,109
0.0347222,195,0,0,0,12.083,0,109
0.0354167,195,0,0,0,12.083,0,109
0.0361111,196,0,0,0,12.083,0,110
0.0368056,196,0,0,0,12.083,0,110
0.0375,196,0,0,0,12.083,0,110
0.0381945,196,0,0,0,12.083,0,110
0.0388889,196,0,0,0,12.083,0,110
0.0395834,198,0,0,0,12.083,0,111
0.0402778,198,0,0,0,12.083,0,111
0.0409722,198,0,0,0,12.083,0,111
0.0416667,198,0,0,0,12.083,0,111
0.0423611,198,0,0,0,12.083,0,111
0.0430556,199,0,0,0,12.083,0,111
0.04375,199,0,0,0,12.083,0,111
0.0444445,199,0,0,0,12.083,0,111
0.0451389,200,0,0,0,12.083,0,111
0.0458334,200,0,0,0,12.083,0,111
0.0465278,200,0,0,0,12.083,0,111
0.0472223,200,0,0,0,12.083,0,111
0.0479167,201,0,0,0,12.083,0,111
0.0486112,202,0,0,0,12.083,0,112
0.0493056,203,0,0,0,12.083,0,112
0.05,203,0,0,0,12.083,0,112
0.0506945,203,0,0,0,12.083,0,112
0.0513889,203,0,0,0,12.083,0,112
