time,N,dead,CTL,con,tumrad,deaths
0,180,0,0,0,11.8743,0
0.000694444,181,0,0,0,11.8743,0
0.00138889,181,0,0,0,11.8743,0
0.00208333,181,0,0,0,11.8743,0
0.00277778,182,0,0,0,11.8743,0
0.00347222,182,0,0,0,11.8743,0
0.00416667,182,0,0,0,11.8743,0
0.00486111,182,0,0,0,11.8743,0
0.00555556,182,0,0,0,11.8743,0
0.00625,182,0,0,0,11.8743,0
0.00694444,184,0,0,0,11.8743,0
0.00763889,184,0,0,0,11.8743,0
0.00833333,184,0,0,0,11.8743,0
0.00902778,184,0,0,0,11.8743,0
0.00972222,184,0,0,0,11.8743,0
0.0104167,185,0,0,0,11.8743,0
0.0111111,185,0,0,0,11.8743,0
0.0118056,185,0,0,0,11.8743,0
0.0125,185,0,0,0,11.8743,0
0.0131944,185,0,0,0,11.8743,0
0.0138889,185,0,0,0,11.8743,0
0.0145833,185,0,0,0,11.8743,0
0.0152778,185,0,0,0,11.8743,0
0.0159722,185,0,0,0,11.8743,0
0.0166667,186,0,0,0,11.8743,0
0.0173611,186,0,0,0,11.8743,0
0.0180556,187,0,0,0,11.8743,0
0.01875,187,0,0,0,11.8743,0
0.0194444,188,0,0,0,11.8743,0
0.0201389,188,0,0,0,11.8743,0
0.0208333,188,0,0,0,11.8743,0
0.0215278,188,0,0,0,11.8743,0
0.0222222,188,0,0,0,11.8743,0
0.0229167,189,0,0,0,11.8743,0
0.0236111,189,0,0,0,11.8743,0
0.0243056,189,0,0,0,11.8743,0
0.025,189,0,0,0,11.8743,0
0.0256944,190,0,0,0,11.8743,0
0.0263889,190,0,0,0,11.8743,0
0.0270833,190,0,0,0,11.8743,0
0.0277778,190,0,0,0,11.8743,0
0.0284722,190,0,0,0,11.8743,0
0.0291667,190,0,0,0,11.8743,0
0.0298611,191,0,0,0,11.8743,0
0.0305556,191,0,0,0,11.8743,0
0.03125,191,0,0,0,11.8743,0
0.0319444,192,0,0,0,11.8743,0
0.0326389,192,0,0,0,11.8743,0
0.0333333,192,0,0,0,11.8743,0
0.0340278,192,0,0,0,11.8743,0
0.0347222,192,0,0,0,11.8743,0
0.0354167,192,0,0,0,11.8743,0
0.0361111,192,0,0,0,11.8743,0
0.0368056,192,0,0,0,11.8743,0
0.0375,192,0,0,0,11.8743,0
0.0381945,192,0,0,0,11.8743,0
0.0388889,192,0,0,0,11.8743,0
0.0395834,193,0,0,0,11.8743,0
0.0402778,193,0,0,0,11.8743,0
0.0409722,193,0,0,0,11.8743,0
0.0416667,193,0,0,0,11.8743,0
0.0423611,193,0,0,0,11.8743,0
0.0430556,193,0,0,0,11.8743,0
0.04375,194,0,0,0,11.8743,0
0.0444445,195,0,0,0,11.8743,0
0.0451389,195,0,0,0,11.8743,0
0.0458334,196,0,0,0,11.8743,0
0.0465278,196,0,0,0,11.8743,0
0.0472223,197,0,0,0,11.8743,0
0.0479167,197,0,0,0,11.8743,0
0.0486112,197,0,0,0,11.8743,0
0.0493056,198,0,0,0,12.6886,0
0.05,199,0,0,0,12.6886,0
0.0506945,199,0,0,0,12.6886,0
0.0513889,199,0,0,0,12.6886,0
0.0520834,199,0,0,0,12.6886,0
0.0527778,200,0,0,0,12.6886,0
0.0534723,200,0,0,0,12.6886,0
0.0541667,201,0,0,0,12.6886,0
0.0548612,202,0,0,0,12.6886,0
0.0555556,202,0,0,0,12.6886,0
0.0562501,202,0,0,0,12.6886,0
0.0569445,202,0,0,0,12.6886,0
0.057639,203,0,0,0,12.6886,0
0.0583334,203,0,0,0,12.6886,0
0.0590279,203,0,0,0,12.6886,0
0.0597223,204,0,0,0,12.6886,0
0.0604167,204,0,0,0,12.6886,0
0.0611112,204,0,0,0,12.6886,0
0.0618056,204,0,0,0,12.6886,0
0.0625001,204,0,0,0,12.6886,0
0.0631945,204,0,0,0,12.6886,0
0.063889,204,0,0,0,12.6886,0
0.0645834,204,0,0,0,12.6886,0
0.0652779,204,0,0,0,12.6886,0
0.0659723,204,0,0,0,12.6886,0
0.0666668,204,0,0,0,12.6886,0
0.0673612,204,0,0,0,12.6886,0
0.0680557,204,0,0,0,12.6886,0
0.0687501,205,0,0,0,12.6886,0
0.0694445,205,0,0,0,12.6886,0
0.070139,205,0,0,0,12.6886,0
0.0708334,205,0,0,0,12.6886,0
0.0715279,205,0,0,0,12.6886,0
0.0722223,205,0,0,0,12.6886,0
0.0729168,205,0,0,0,12.6886,0
0.0736112,205,0,0,0,12.6886,0
0.0743057,205,0,0,0,12.6886,0
0.0750001,205,0,0,0,12.6886,0
0.0756946,205,0,0,0,12.6886,0
0.076389,205,0,0,0,12.6886,0
0.0770835,206,0,0,0,12.6886,0
0.0777779,206,0,0,0,12.6886,0
0.0784723,206,0,0,0,12.6886,0
0.0791668,206,0,0,0,12.6886,0
0.0798612,206,0,0,0,12.6886,0
0.0805557,207,0,0,0,12.6886,0
0.0812501,207,0,0,0,12.6886,0
0.0819446,207,0,0,0,12.6886,0
0.082639,208,0,0,0,12.6886,0
0.0833335,208,0,0,0,12.6886,0
0.0840279,209,0,0,0,12.6886,0
0.0847224,210,0,0,0,12.6886,0
0.0854168,211,0,0,0,12.6886,0
0.0861113,211,0,0,0,12.6886,0
0.0868057,212,0,0,0,12.6886,0
0.0875001,213,0,0,0,12.6886,0
0.0881946,213,0,0,0,12.6886,0
0.088889,213,0,0,0,12.6886,0
0.0895835,214,0,0,0,12.6886,0
0.0902779,214,0,0,0,12.6886,0
0.0909724,214,0,0,0,12.6886,0
0.0916668,214,0,0,0,12.6886,0
0.0923613,214,0,0,0,12.6886,0
0.0930557,214,0,0,0,12.6886,0
0.0937502,215,0,0,0,12.6886,0
0.0944446,215,0,0,0,12.6886,0
0.0951391,215,0,0,0,12.6886,0
0.0958335,215,0,0,0,12.6886,0
0.0965279,215,0,0,0,12.6886,0
0.0972224,215,0,0,0,12.6886,0
0.0979168,215,0,0,0,12.6886,0
0.0986113,215,0,0,0,12.6886,0
0.0993057,215,0,0,0,12.6886,0
0.1,215,0,0,0,12.6886,0
0.100695,216,0,0,0,12.6886,0
0.101389,217,0,0,0,12.6886,0
0.102084,217,0,0,0,12.6886,0
0.102778,217,0,0,0,12.6886,0
0.103472,217,0,0,0,12.6886,0
0.104167,217,0,0,0,12.6886,0
0.104861,218,0,0,0,12.6886,0
0.105556,218,0,0,0,12.6886,0
0.10625,219,0,0,0,12.6886,0
0.106945,219,0,0,0,12.6886,0
0.107639,219,0,0,0,12.6886,0
0.108334,219,0,0,0,12.6886,0
0.109028,219,0,0,0,12.6886,0
0.109722,220,0,0,0,12.6886,0
0.110417,220,0,0,0,12.6886,0
0.111111,221,0,0,0,12.6886,0
0.111806,222,0,0,0,12.6886,0
0.1125,222,0,0,0,12.6886,0
0.113195,222,0,0,0,12.6886,0
0.113889,223,0,0,0,12.6886,0
0.114584,223,0,0,0,12.6886,0
0.115278,223,0,0,0,12.6886,0
0.115972,224,0,0,0,12.6886,0
0.116667,224,0,0,0,12.6886,0
0.117361,224,0,0,0,12.6886,0
0.118056,224,0,0,0,12.6886,0
0.11875,225,0,0,0,12.6886,0
0.119445,225,0,0,0,12.6886,0
0.120139,225,0,0,0,12.6886,0
0.120834,225,0,0,0,12.6886,0
0.121528,225,0,0,0,12.6886,0
0.122222,225,0,0,0,12.6886,0
0.122917,225,0,0,0,12.6886,0
0.123611,226,0,0,0,13.0384,0
0.124306,227,0,0,0,13.0384,0
