time,N,dead,CTL,con,tumrad,deaths
0,180,0,0,0,11.8743,0
0.000694444,180,0,0,0,11.8743,0
0.00138889,180,0,0,0,11.8743,0
0.00208333,180,0,0,0,11.8743,0
0.00277778,180,0,0,0,11.8743,0
0.00347222,180,0,0,0,11.8743,0
0.00416667,180,0,0,0,11.8743,0
0.00486111,180,0,0,0,11.8743,0
0.00555556,180,0,0,0,11.8743,0
0.00625,180,0,0,0,11.8743,0
0.00694444,180,0,0,0,11.8743,0
0.00763889,180,0,0,0,11.8743,0
0.00833333,180,0,0,0,11.8743,0
0.00902778,181,0,0,0,11.8743,0
0.00972222,181,0,0,0,11.8743,0
0.0104167,181,0,0,0,11.8743,0
0.0111111,182,0,0,0,12.3288,0
0.0118056,182,0,0,0,12.3288,0
0.0125,182,0,0,0,12.3288,0
0.0131944,182,0,0,0,12.3288,0
0.0138889,183,0,0,0,12.3288,0
0.0145833,183,0,0,0,12.3288,0
0.0152778,183,0,0,0,12.3288,0
0.0159722,183,0,0,0,12.3288,0
0.0166667,183,0,0,0,12.3288,0
0.0173611,183,0,0,0,12.3288,0
0.0180556,183,0,0,0,12.3288,0
0.01875,183,0,0,0,12.3288,0
0.0194444,184,0,0,0,12.3288,0
0.0201389,184,0,0,0,12.3288,0
0.0208333,184,0,0,0,12.3288,0
0.0215278,184,0,0,0,12.3288,0
0.0222222,185,0,0,0,12.3288,0
0.0229167,185,0,0,0,12.3288,0
0.0236111,185,0,0,0,12.3288,0
0.0243056,185,0,0,0,12.3288,0
0.025,186,0,0,0,12.3288,0
0.0256944,186,0,0,0,12.3288,0
0.0263889,186,0,0,0,12.3288,0
0.0270833,186,0,0,0,12.3288,0
0.0277778,186,0,0,0,12.3288,0
0.0284722,186,0,0,0,12.3288,0
0.0291667,186,0,0,0,12.3288,0
0.0298611,186,0,0,0,12.3288,0
0.0305556,186,0,0,0,12.3288,0
0.03125,186,0,0,0,12.3288,0
0.0319444,186,0,0,0,12.3288,0
0.0326389,186,0,0,0,12.3288,0
0.0333333,186,0,0,0,12.3288,0
0.0340278,187,0,0,0,12.3288,0
0.0347222,187,0,0,0,12.3288,0
0.0354167,187,0,0,0,12.3288,0
0.0361111,187,0,0,0,12.3288,0
0.0368056,188,0,0,0,12.3288,0
0.0375,189,0,0,0,12.3288,0
0.0381945,190,0,0,0,12.3288,0
0.0388889,190,0,0,0,12.3288,0
0.0395834,190,0,0,0,12.3288,0
0.0402778,190,0,0,0,12.3288,0
0.0409722,190,0,0,0,12.3288,0
0.0416667,190,0,0,0,12.3288,0
0.0423611,191,0,0,0,12.3288,0
0.0430556,191,0,0,0,12.3288,0
0.04375,192,0,0,0,12.3288,0
0.0444445,192,0,0,0,12.3288,0
0.0451389,192,0,0,0,12.3288,0
0.0458334,193,0,0,0,12.3288,0
0.0465278,193,0,0,0,12.3288,0
0.0472223,193,0,0,0,12.3288,0
0.0479167,193,0,0,0,12.3288,0
0.0486112,193,0,0,0,12.3288,0
0.0493056,193,0,0,0,12.3288,0
0.05,193,0,0,0,12.3288,0
0.0506945,193,0,0,0,12.3288,0
0.0513889,193,0,0,0,12.3288,0
0.0520834,194,0,0,0,12.4097,0
0.0527778,194,0,0,0,12.4097,0
0.0534723,195,0,0,0,12.4097,0
0.0541667,196,0,0,0,12.4097,0
0.0548612,196,0,0,0,12.4097,0
0.0555556,196,0,0,0,12.4097,0
0.0562501,196,0,0,0,12.4097,0
0.0569445,196,0,0,0,12.4097,0
0.057639,196,0,0,0,12.4097,0
0.0583334,196,0,0,0,12.4097,0
0.0590279,196,0,0,0,12.4097,0
0.0597223,198,0,0,0,12.4097,0
0.0604167,198,0,0,0,12.4097,0
0.0611112,198,0,0,0,12.4097,0
0.0618056,198,0,0,0,12.4097,0
0.0625001,198,0,0,0,12.4097,0
0.0631945,198,0,0,0,12.4097,0
0.063889,198,0,0,0,12.4097,0
0.0645834,198,0,0,0,12.4097,0
0.0652779,198,0,0,0,12.4097,0
0.0659723,198,0,0,0,12.4097,0
0.0666668,198,0,0,0,12.4097,0
0.0673612,198,0,0,0,12.4097,0
0.0680557,199,0,0,0,12.4097,0
0.0687501,199,0,0,0,12.4097,0
0.0694445,199,0,0,0,12.4097,0
0.070139,200,0,0,0,12.4097,0
0.0708334,200,0,0,0,12.4097,0
0.0715279,200,0,0,0,12.4097,0
0.0722223,201,0,0,0,12.4097,0
